,rank,nct number,title,acronym,status,study results,conditions,interventions,outcome measures,sponsor/collaborators,gender,age,phases,enrollment,funded bys,study type,study designs,other ids,start date,primary completion date,completion date,first posted,results first posted,last update posted,locations,study documents,url,duration,ftype2,cond1,allocation,interv_mod2,mask1,purp1
733,734,NCT03229278,Trigriluzole With Nivolumab and Pembrolizumab in Treating Patients With Metastatic or Unresectable Solid Malignancies or Lymphoma,,Completed,No Results Available,Lymphoma|Metastatic Malignant Solid Neoplasm|Metastatic Melanoma|Metastatic Renal Cell Cancer|Recurrent Bladder Carcinoma|Recurrent Classical Hodgkin Lymphoma|Recurrent Head and Neck Squamous Cell Carcinoma|Recurrent Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Renal Cell Carcinoma|Stage III Bladder Cancer|Stage III Lymphoma|Stage III Non-Small Cell Lung Cancer AJCC v7|Stage III Renal Cell Cancer|Stage III Skin Melanoma|Stage IIIA Non-Small Cell Lung Cancer AJCC v7|Stage IIIA Skin Melanoma|Stage IIIB Non-Small Cell Lung Cancer AJCC v7|Stage IIIB Skin Melanoma|Stage IIIC Skin Melanoma|Stage IV Bladder Cancer|Stage IV Lymphoma|Stage IV Non-Small Cell Lung Cancer AJCC v7|Stage IV Renal Cell Cancer|Stage IV Skin Melanoma|Stage IVA Bladder Cancer|Stage IVB Bladder Cancer|Unresectable Head and Neck Squamous Cell Carcinoma|Unresectable Solid Neoplasm,Drug: Enzyme Inhibitor Therapy|Other: Laboratory Biomarker Analysis|Biological: Nivolumab|Biological: Pembrolizumab,"Maximum tolerated dose (MTD))/recommended phase 2 dose of trigriluzole|Adverse event (AE) type, severity and frequency|Objective response rate assessed according to Response Evaluation Criteria in Solid Tumors version 1.1|Overall survival|Landmark survival rates|Duration of response for responding patients|Progression-free survival|Time to treatment failure|Time to next therapy or death|Freedom from new metastases","Rutgers, The State University of New Jersey|National Cancer Institute (NCI)",All,"18 Years and older   (Adult, Older Adult)",Phase 1,14.0,Other|NIH,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pro20170000453|NCI-2017-01155|051707|P30CA072720,2017-08-17,"January 8, 2020",2020-01-30,"July 25, 2017",,"November 21, 2022","Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/78/NCT03229278/ICF_000.pdf",https://ClinicalTrials.gov/show/NCT03229278,896.0,Not Industry Lead,More than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
734,735,NCT00113724,Study of TPI 287 in Patients With Advanced Malignancies,,Completed,No Results Available,Neoplasms|Non-Hodgkin Lymphoma|Hodgkin Disease,Drug: TPI 287 Injection,To determine the maximum tolerated dose of TPI 287|To determine the safety of TPI 287|To determine the antitumor activity of TPI 287|To determine the pharmacokinetic profile of TPI 287|To determine the pharmacodynamic profile of TPI 287,"Cortice Biosciences, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1,48.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TPI 287-01,2005-05-01,January 2008,2008-01-01,"June 10, 2005",,"June 4, 2009","Arizona Clinical Research Center, Tucson, Arizona, United States|Rocky Mountain Cancer Center, Denver, Colorado, United States|Georgetown University Medical Center/Lombardi Cancer Center, Washington, DC, District of Columbia, United States|New York Medical College, Valhalla, New York, United States",,https://ClinicalTrials.gov/show/NCT00113724,975.0,Industry Lead,Three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
735,736,NCT00432562,A Bioequivalence Study of Vinorelbine Tartrate Injectable Emulsion in Patients With Advanced Cancer.,,Completed,Has Results,Breast Cancer|Non-small Cell Lung Cancer|Non-Hodgkins Lymphoma,Drug: Vinorelbine Tartrate,Time to Reach Maximum Observed Plasma Concentration (Tmax)|Maximum Observed Plasma Concentration (Cmax)|Area Under the Plasma Concentratio-Time Curve From Time 0 to the Time of the Last Measurable Concentration (AUClast)|Area Under the Concentration-Time Curve From Time 0 to Infinity (AUCinf)|Percentage of AUCinf Based on Extrapolation (AUCextrap)|Observed Elimination Rate Constant Associated With the Terminal Portion of the Curve (λ z)|Observed Terminal Elimination Half-Life (t1/2)|Time of Last Measurable Concentration (Tlast)|Last Quantifiable Drug Concentration (Clast)|Mean Residence Time (MRTinf),"Mast Therapeutics, Inc.|Synteract, Inc.|Thywill Latam Solutions SRL|OCASA Soluciones Logísticas S.A.|Worldwide Clinical Trials",All,"18 Years and older   (Adult, Older Adult)",Phase 1,31.0,Industry|Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,530-01,2007-02-01,November 2007,2007-12-01,"February 8, 2007","February 23, 2012","February 23, 2012","Clinical Investigative Site, Buenos Aires, Argentina|Clinical Investigative Site, Mendoza, Argentina|Clinical Investigative Site, Rosario, Argentina|Clinical Investigative Site, Santa Fe, Argentina|Clinical Investigative Site, Tucuman, Argentina",,https://ClinicalTrials.gov/show/NCT00432562,303.0,Industry Lead,Three Conditions,Randomized,Crossover Assignment,None (Open Label),Treatment/Diagnostic
738,739,NCT01772797,Phase Ib Study of LDK378 and AUY922 in ALK-rearranged Non-small Cell Lung Cancer,,Completed,No Results Available,Anaplastic Lymphoma Kinase (ALK)|Non-small Cell Lung Cancer,Drug: LDK378|Drug: AUY922,"Incidence rate of Dose Limiting Toxicities (DLT)|Number of patients with adverse events|Changes in laboratory values|Assessments of electrocardiograms|Assessments of dose interruptions, reductions, and dose intensity|Plasma PK parameter of LDK378 and AUY922: Tmax|Overall response rate (ORR)|Duration of Response (DoR)|Time to Response (TTR)|Progression free survival (PFS)|Number of patients with serious adverse events|Plasma PK parameter of LDK378 and AUY922: Cmax|Plasma PK parameter of LDK378 and AUY922: AUClast|Plasma PK parameter of LDK378 and AUY922: AUCtau|Plasma PK parameter of LDK378 and AUY922: Cmin|Plasma PK parameter of LDK378 and AUY922: Racc",Novartis Pharmaceuticals|Novartis,All,"18 Years and older   (Adult, Older Adult)",Phase 1,22.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CLDK378X2102|2012-004632-29,2013-06-01,January 2016,2016-01-01,"January 21, 2013",,"December 19, 2020","University of Colorado Dept. of Anschutz Cancer (3), Aurora, Colorado, United States|Massachusetts General Hospital Mass General, Boston, Massachusetts, United States|Fox Chase Cancer Center Fox Chase Cancer (2), Philadelphia, Pennsylvania, United States|University of Utah / Huntsman Cancer Institute Huntsman, Salt Lake City, Utah, United States|Novartis Investigative Site, Melbourne, Victoria, Australia|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Singapore, Singapore|Novartis Investigative Site, Barcelona, Catalunya, Spain",,https://ClinicalTrials.gov/show/NCT01772797,944.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
739,740,NCT01842672,Mitoxantrone and Clofarabine for Treatment of Recurrent NHL or Acute Leukemia,MITCL,Completed,No Results Available,Acute Lymphoblastic Leukemia|Acute Myelogenous Leukemia|Lymphoblastic Lymphoma|Diffuse Large B-cell Lymphoma|Burkitt Lymphoma/Leukemia,Drug: Clofarabine|Drug: Mitoxantrone,Determine MTD|Response Rate|Monitor for Minimal Residual Disease,New York Medical College,All,"up to 30 Years   (Child, Adult)",Phase 1|Phase 2,41.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"NYMC 542|L 10, 819",2013-03-01,August 2021,2022-09-01,"April 30, 2013",,"October 25, 2022","New York Medical College, Valhalla, New York, United States|Levine Children's Hospital, Charlotte, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT01842672,3471.0,Not Industry Lead,More than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
742,743,NCT01955668,AZD6738 First Time in Patient Multiple Ascending Dose Study,,Completed,No Results Available,"11q-deleted Relapsed/Refractory Chronic Lymphocytic Leukaemia (CLL),|Prolymphocytic Leukaemia (PLL)|B Cell Lymphomas",Drug: Administration of AZD6738,"Parts A and B: Safety and tolerability in terms of AE and SAE (including death), as recorded in safety measures.|Part A only: Define either the Maximum tolerated dose (MTD), if possible, or maximum feasible dose (MFD)|Part B only: Preliminary assessment of the effect of food on the Pharmacokinetic (PK) parameters of AZD6738 via plasma analysis|Parts A&B: Establish pharmacokinetics characteristics of AZD6738 and its active metabolite from plasma analysis|Part A and B: Anti tumour activity by assessing tumour response via CT or MRI scans|Part A and B: Measuring 4 beta-hydroxy cholesterol concentration for assessment of CYP3A4 induction potential|Part B: Pharmacokinetic profile of AZD6738 and its active metabolite from urinalysis|Part B only: Preliminary assessment of the effect of food on the PK parameters of AZD6738 via urinalysis|Part A: Determine the extent of ATR target inhibition using pharmacodynamic biomarkers|Part A and B: Biomarker analysis using lymph node biopsies|Part A and B: Confirmation of tumour response assessment by analysing bone marrow / aspirate|Part A and B: Bone marrow biopsy or aspirate will be analysed for biomarkers|Part A and B: Determination of 11q del status to investigate any potential changes in FISH cytogenetic's post treatment|Parts A and B: Identify patients with ATM deficient status, determine ATM mutation load and correlate this with clinical efficacy in order to better understand patient population which will most likely benefit from AZD6738 treatment|Part B: The extent of ATR target inhibition identified using pharmacodynamic biomarkers",AstraZeneca|CLL Consortium,All,"18 Years and older   (Adult, Older Adult)",Phase 1,2.0,Industry|Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,D5330C00001,2013-11-01,December 2013,2013-12-01,"October 7, 2013",,"June 19, 2014","Research Site, La Jolla, California, United States",,https://ClinicalTrials.gov/show/NCT01955668,30.0,Industry Lead,Three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
743,744,NCT03052933,Copanlisib and Gemcitabine in Relapsed/Refractory PTCL,,Completed,No Results Available,Mature T-Cell and NK-Cell Neoplasm,Drug: Copanlisib|Drug: Gemcitabine,"Dose limiting toxicity (DLT), Maximum tolerated dose (MTD) for phase I|Objective response rate for phase II|adverse events|Progression-free survival (PFS)|Overall survival (OS)",Chonnam National University Hospital|Bayer|Consortium for Improving Survival of Lymphoma,All,"19 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,28.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,COPGEM,2018-02-01,"July 1, 2021",2021-07-01,"February 14, 2017",,"June 10, 2022","Chonnam National University Hwasun Hospital, Hwasun-gun, Jeollanam-do, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03052933,1246.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
744,745,NCT01155817,Phase 1 Nilotinib in Steroid Dependent/Refractory Chronic Graft Versus Host Disease,,Completed,No Results Available,"Bone Marrow Transplant Failure|Lymphoma, Non-Hodgkin|Lymphoma, T-Cell, Peripheral",Drug: Nilotinib,Frequency and severity of adverse events graded according to CTCAE v4.0|Chronic GVHD response measured as change in physical exam and laboratory testing|Chronic GVHD response measured as change in daily corticosteroid requirement|Chronic GVHD response measured as frequency of treatment failure defined as discontinuation of study drug due to severe adverse effects or initiation of a new treatment for cGVHD|Chronic GVHD response measured as change in cGVHD symptom burden,Stanford University|Novartis,All,"18 Years and older   (Adult, Older Adult)",Phase 1,33.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IRB-18743|SU-06112010-6317|BMT222,2010-08-01,December 2013,2013-12-01,"July 2, 2010",,"April 15, 2020","Stanford University School of Medicine, Stanford, California, United States|Colorado Blood Cancer Institute, Denver, Colorado, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States|Gordon and Leslie Diamond Health Care Centre Hematology Administration, Vancouver, British Columbia, Canada",,https://ClinicalTrials.gov/show/NCT01155817,1218.0,Not Industry Lead,Three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
745,746,NCT00019227,Monoclonal Antibody Therapy in Treating Patients With Leukemia,,Completed,No Results Available,Lymphoma|Radiation Toxicity,Drug: pentetic acid calcium|Radiation: yttrium Y 90 daclizumab,,National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,,NIH,Interventional,Primary Purpose: Treatment,CDR0000065240|NCI-96-C-0147K,1996-10-01,,2006-07-01,"January 27, 2003",,"June 20, 2013","Warren Grant Magnuson Clinical Center - NCI Clinical Studies Support, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00019227,3560.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,N/A,Treatment/Diagnostic
746,747,NCT00049699,VNP40101M in Treating Patients With Advanced or Metastatic Cancer,,Completed,No Results Available,"Lymphoma|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",Drug: laromustine,,Vion Pharmaceuticals|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1,,Industry,Interventional,Primary Purpose: Treatment,VION-CLI-028|CDR0000258355|YALE-HIC-16775,2002-10-01,,2008-01-01,"January 27, 2003",,"July 18, 2013","Yale Comprehensive Cancer Center, New Haven, Connecticut, United States|Veterans Affairs Medical Center - West Haven, West Haven, Connecticut, United States|Ireland Cancer Center, Cleveland, Ohio, United States",,https://ClinicalTrials.gov/show/NCT00049699,1918.0,Industry Lead,Three Conditions,N/A,None-Crossover Assignment,N/A,Treatment/Diagnostic
747,748,NCT00410982,"Gemcitabine Plus Busulfan, Melphalan and Hematopoietic Cell Transplant for Advanced Lymphoid Malignancies",,Completed,No Results Available,Leukemia|Lymphoma|Myeloma,Drug: Busulfan|Drug: Gemcitabine|Drug: Melphalan|Other: Hematopoietic Cell Transplantation|Drug: Rituximab for Patients with B-Cell Malignancies|Drug: Palifermin,Maximum Tolerated Dose (MTD) of Gemcitabine with Busulfan + Melphalan,M.D. Anderson Cancer Center,All,"18 Years to 69 Years   (Adult, Older Adult)",Phase 1,145.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2006-0803,2006-12-01,September 2012,2012-09-01,"December 13, 2006",,"June 3, 2016","UT MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00410982,2101.0,Not Industry Lead,Three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
748,749,NCT00222443,"Pilot Study Combining Temozolomide, Oncovin, Camptosar and Oral Antibiotic in Children and Adolescents With Recurrent Malignancy",,Completed,No Results Available,Lymphomas|Tumors,Drug: Irinotecan,Determine toxicity and maximum tolerated dose of escalating daily protracted irinotecan.|Evaluate feasibility of repetitive cycles of this combination .|Estimate response rate in children and adolescents with recurrent solid tumors and lymphomas.,University of Oklahoma,All,"1 Year to 21 Years   (Child, Adult)",Phase 1,40.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,JEC Toca One,2004-09-01,December 2007,2007-12-01,"September 22, 2005",,"September 22, 2008","Oklahoma University Health Sciences Center-Jimmy Everest Center, Oklahoma City, Oklahoma, United States",,https://ClinicalTrials.gov/show/NCT00222443,1186.0,Not Industry Lead,Less than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
749,750,NCT02467946,Hodgkin Lymphoma Treatment With Adcetris and Levact in the Old Patient,HALO,Completed,No Results Available,Clinical Efficacy|Safety,Drug: Adcetris-Levact,toxicity analysis|Efficacy analysis|Progression Free Survival|Complete Response Rate,Centre Antoine Lacassagne|Millennium: The Takeda Oncology Company,All,"60 Years to 80 Years   (Adult, Older Adult)",Phase 1|Phase 2,60.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2013/24,2016-01-14,"April 6, 2022",2022-04-06,"June 10, 2015",,"January 4, 2023","Centre Antoine Lacassagne, Nice, France",,https://ClinicalTrials.gov/show/NCT02467946,2274.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
750,751,NCT03019666,Ph I Trial of NAM NK Cells and IL-2 for Adult Pts With MM and NHL,,Completed,No Results Available,Multiple Myeloma|Non-Hodgkin Lymphoma|Diffuse Large B Cell Lymphoma|Mantle-Cell Lymphoma|Follicular Lymphoma|Indolent B Cell Lymphoma|Primary Mediastinal Lymphoma|Lymphoplasmacytic Lymphoma,Biological: Nicotinamide Expanded Haploidentical or Mismatched Related Donor Natural Killer Cells,Occurrence of any grade 4 or greater suspected adverse reaction|Occurrence of Grade III or IV acute graft-versus-host disease (aGVHD)|Occurrence of treatment related mortality (TRM)|Occurrence of disease response|Number of patients alive without progression,"Masonic Cancer Center, University of Minnesota",All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1,39.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2015LS057|MT2015-46,2017-10-18,"August 15, 2022",2022-08-15,"January 12, 2017",,"November 4, 2022","Masonic Cancer Center, University of Minnesota, Minneapolis, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT03019666,1762.0,Not Industry Lead,More than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
751,752,NCT02013128,Ublituximab + Ibrutinib in Select B-cell Malignancies,,Completed,No Results Available,Chronic Lymphocytic Leukemia|Mantle Cell Lymphoma,Drug: Ublituximab|Drug: Ibrutinib,To evaluate the safety of ublituximab in combination with ibrutinib in patients with select B-cell malignancies|Overall Response Rate,"TG Therapeutics, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,66.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,UTX-IB-104,2014-01-06,December 2015,2015-12-01,"December 17, 2013",,"October 24, 2022","TG Therapeutics Investigational Trial Site, Huntsville, Alabama, United States|TG Therapeutics Investigational Trial Site, Tucson, Arizona, United States|TG Therapeutics Investigational Trial Site, Santa Barbara, California, United States|TG Therapeutics Investigational Trial Site, Boulder, Colorado, United States|TG Therapeutics Investigational Trial Site, Niles, Illinois, United States|TG Therapeutics Investigational Trial Site, Urbana, Illinois, United States|TG Therapeutics Investigational Trial Site, Bethesda, Maryland, United States|TG Therapeutics Investigational Trial Site, Morristown, New Jersey, United States|TG Therapeutics Investigational Trial Site, Portland, Oregon, United States|TG Therapeutics Investigational Trial Site, Springfield, Oregon, United States|TG Therapeutics Investigational Trial Site, Greenville, South Carolina, United States|TG Therapeutics Investigational Trial Site, Memphis, Tennessee, United States|TG Therapeutics Investigational Trial Site, Austin, Texas, United States|TG Therapeutics Investigational Trial Site, Dallas, Texas, United States|TG Therapeutics Investigational Trial Site, Tyler, Texas, United States|TG Therapeutics Investigational Trial Site, Blacksburg, Virginia, United States|TG Therapeutics Investigational Trial Site, Fairfax, Virginia, United States|TG Therapeutics Investigational Trial Site, Vancouver, Washington, United States",,https://ClinicalTrials.gov/show/NCT02013128,694.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
752,753,NCT01947140,Pralatrexate + Romidepsin in Relapsed/Refractory Lymphoid Malignancies,PDX+Romi,Completed,No Results Available,Lymphoid Malignancies|Multiple Myeloma|Lymphoma|Hodgkin Lymphoma|Non-hodgkin Lymphoma,Drug: Pralatrexate|Drug: Romidepsin,Maximum tolerated dose (MTD) of the combination of pralatrexate and romidepsin|Overall response rate (ORR) (complete + partial response) of the combination of pralatrexate and romidepsin in patients with relapsed/refractory T-Cell Lymphoma|Maximum number of cycles received|Number of dose delays at the MTD|Overall response rate (ORR) of the study population|Duration of response (DOR) of the combination in patients with T-Cell Lymphoma|Overall survival (OS) of patients with T-Cell Lymphoma on study|Progression free survival (PFS) of the combination in patients with T-Cell Lymphoma|Number of dose reductions at the MTD|Progression free survival (PFS) of the study population|Duration of response (DOR) of the study population.,Jennifer Amengual|Columbia University,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,57.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,AAAJ5656,2013-09-09,"September 1, 2022",2022-09-01,"September 20, 2013",,"November 23, 2022","Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Columbia University Irving Medical Center, New York, New York, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT01947140,3279.0,Not Industry Lead,More than three Conditions,Non-Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
753,754,NCT02686346,Brentuximab Vedotin in Refractory/Relapsed Hodgkin Lymphoma Treated by ICE,BV-ICE,Completed,No Results Available,Hodgkin Disease,Drug: Brentuximab Vedotin|Drug: Etoposide|Drug: Carboplatine|Drug: Ifosfamide,Phase I : Maximal Tolerated Dose (MTD) determination|Phase II = fraction of responding patients according to Lugano classification (metabolic Complete Response)|Phase I : Number of participants with treatment-related adverse events as assessed by CTCAE v4.03|Phase I = Preliminary Overall Response Rate (ORR)|Phase II = ORR|Phase II : Number of participants with treatment-related adverse events as assessed by CTCAE v4.03|Phase II = number of patients with hematological recovery after each cycle|Phase II = Feasibility of Autologous Stem Cell Transplant (ASCT) after BV-ICE = fraction of patients for whom harvest is possible|Phase II = Fraction of patients eligible for ASCT|Phase II = Number of patients Positron Emission Tomography (PET) 4- after PET 2+|Phase II = Progression Free Survival (PFS)|Phase II = Overall Survival (OS),"The Lymphoma Academic Research Organisation|Millennium Pharmaceuticals, Inc.",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,53.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BV-ICE,2016-03-01,"October 31, 2018",2021-07-12,"February 19, 2016",,"December 7, 2021","Clinique Universitaire Saint-Luc, Bruxelles, Belgium|CHU Dinant Godinne, Yvoir, Belgium|Institut d'Hématologie de Basse Normandie - CHU Côte de Nacre, Caen, France|APHP-Hôpital Henri Mondor, Créteil, France|CHU de Dijon - Hôpital le Bocage, Dijon, France|CHRU Lille - Hôpital Claude Huriez, Lille, France|Centre Léon Bérard, Lyon, France|CHU Saint Eloi, Montpellier, France|CHU De Nantes, Nantes, France|APHP - Hôpital Saint Louis, PARIS Cedex 10, France|Hôpital Necker, Paris, France|CHU Lyon Sud, Pierre Bénite Cedex, France|CHU de Poitiers - Hôpital de La Milétrie, Poitiers, France|CHU De Rennes, Rennes, France|Centre Henri Becquerel, Rouen, France|CHU De Strasbourg, Strasbourg, France|IUCT Toulouse, Toulouse, France|CHU De Nancy - Hôpital Brabois, Vandœuvre-lès-Nancy, France|Institut Gustave Roussy, VILLEJUIF Cedex, France",,https://ClinicalTrials.gov/show/NCT02686346,1959.0,Not Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
754,755,NCT03310619,A Safety and Efficacy Trial of JCAR017 Combinations in Subjects With Relapsed/Refractory B-cell Malignancies,PLATFORM,Completed,No Results Available,"Lymphoma, Non-Hodgkin|Lymphoma, Large B-Cell, Diffuse|Lymphoma, Follicular",Biological: JCAR017|Drug: Durvalumab|Drug: CC-122|Drug: Ibrutinib|Drug: CC-220|Drug: Relatlimab|Drug: Nivolumab|Drug: CC-99282,Dose-limiting toxicity (DLT) rates|Complete Response Rate|Adverse Events (AEs)|Progression-free survival (PFS)|Overall survival (OS)|Overall response rate (ORR)|Duration of response (DOR)|Event-free survival (EFS)|Pharmacokinetic (PK)- Cmax|Pharmacokinetic (PK)- Tmax|Pharmacokinetic (PK)- AUC|Health-related quality of life (HRQoL)|Quality of Life C30 questionnaire (EORTC-QLQ-C30)|European Quality of Life-5 Dimensions health state classifier to 5 Levels (EQ-5D-5L),Celgene,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,62.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,JCAR017-BCM-002|U1111-1201-2046,2017-11-28,"February 15, 2023",2023-02-15,"October 16, 2017",,"March 24, 2023","Local Institution - 011, Duarte, California, United States|Local Institution - 022, Atlanta, Georgia, United States|Local Institution - 014, Chicago, Illinois, United States|Local Institution - 012, Boston, Massachusetts, United States|Local Institution - 021, Boston, Massachusetts, United States|Local Institution - 015, Omaha, Nebraska, United States|Local Institution - 016, Philadelphia, Pennsylvania, United States|Local Institution - 020, Pittsburgh, Pennsylvania, United States|Local Institution - 013, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03310619,1905.0,Industry Lead,Three Conditions,Randomized,None-Crossover Assignment,None (Open Label),Treatment/Diagnostic
755,756,NCT00304005,VNP40101M in Treating Patients With Richter Syndrome or Refractory or Relapsed Chronic Lymphocytic Leukemia or Other Lymphoproliferative Disorders,,Completed,No Results Available,Leukemia|Lymphoma,Drug: laromustine,Maximum tolerated dose|Toxicity|Efficacy,Vion Pharmaceuticals|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,35.0,Industry,Interventional,Primary Purpose: Treatment,VION-CLI-041|CDR0000465217|MDA-2005-0249,2005-07-01,October 2005,2008-08-01,"March 17, 2006",,"July 18, 2013","M.D. Anderson Cancer Center at University of Texas, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00304005,1127.0,Industry Lead,Less than three Conditions,N/A,None-Crossover Assignment,N/A,Treatment/Diagnostic
756,757,NCT00019513,"Combination Chemotherapy in Treating Patients With Recurrent, Refractory, or Metastatic Solid Tumors or Lymphomas",,Completed,No Results Available,"Colorectal Cancer|Esophageal Cancer|Extrahepatic Bile Duct Cancer|Gallbladder Cancer|Liver Cancer|Lung Cancer|Lymphoma|Pancreatic Cancer|Small Intestine Cancer|Unspecified Adult Solid Tumor, Protocol Specific",Drug: fluorouracil|Drug: gemcitabine hydrochloride|Drug: leucovorin calcium,,National Institutes of Health Clinical Center (CC)|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1,108.0,NIH,Interventional,Primary Purpose: Treatment,980143|98-C-0143|CDR0000066587,1998-08-01,,2004-06-01,"January 27, 2003",,"March 23, 2012","Warren Grant Magnuson Clinical Center - NCI Clinical Studies Support, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00019513,2131.0,Not Industry Lead,More than three Conditions,N/A,None-Crossover Assignment,N/A,Treatment/Diagnostic
